AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,7.95,8.33,0.00,5.88,13.51,10.19,11.67
25-29,0.00,10.65,3.70,0.00,6.25,14.84,11.33,13.26
30-34,0.00,22.93,12.00,0.00,0.00,25.85,14.00,23.78
35-39,0.00,24.26,40.00,0.00,50.00,28.57,22.45,27.45
40-44,0.00,29.41,22.22,0.00,25.00,36.56,22.00,34.12
45-49,0.00,38.16,6.67,0.00,75.00,43.33,25.56,40.85
50-54,0.00,44.15,9.09,100.0,22.22,45.75,31.48,43.96
55-59,10.00,50.20,33.33,0.00,41.67,52.13,36.92,50.63
60-64,40.00,49.05,0.00,0.00,50.00,61.45,25.45,57.83
65-OVER,42.86,53.35,33.33,0.00,33.33,63.35,42.86,61.33
TOTAL,10.34,32.61,15.13,33.33,23.08,43.19,22.44,39.51
