AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.13,9.99,2.90,16.67,7.08,7.17,3.84,7.66
25-29,6.35,11.55,4.68,0.00,0.95,7.31,3.58,8.39
30-34,9.68,16.50,6.01,50.00,13.98,11.31,8.74,13.02
35-39,15.69,21.54,6.18,0.00,10.64,14.99,11.73,17.09
40-44,7.50,30.09,9.43,25.00,24.24,26.91,13.52,25.60
45-49,19.35,41.35,12.12,0.00,36.00,33.56,23.15,35.43
50-54,24.39,50.20,36.29,0.00,29.63,41.46,23.65,44.15
55-59,15.79,55.00,30.84,50.00,20.00,49.69,28.24,49.87
60-64,38.46,63.86,28.38,0.00,27.27,56.05,36.00,56.95
65-OVER,26.42,61.34,20.93,75.00,44.83,60.37,28.24,58.13
TOTAL,15.70,33.58,12.17,21.62,14.64,32.35,12.31,29.52
