,CONGRESSIONAL DISTRICT,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,District 1,47.41,55.0,47.41,47.41,47.41,60.03,47.41,57.74
1,District 2,16.86,52.83,16.86,16.86,16.86,60.96,16.86,57.28
2,District 3,57.79,62.1,57.79,57.79,57.79,66.35,57.79,64.39
3,District 4,54.5,54.86,54.5,54.5,54.5,64.68,54.5,60.34
4,District 5,34.72,48.12,34.72,34.72,34.72,58.17,34.72,53.44
5,District 6,58.72,64.69,58.72,58.72,58.72,67.72,58.72,66.28
6,District 7,65.47,61.51,65.47,65.47,65.47,66.09,65.47,63.96
7,District 8,45.31,59.98,45.31,45.31,45.31,64.09,45.31,62.21
8,District 9,63.6,66.29,63.6,63.6,63.6,68.52,63.6,67.46
9,District 10,66.16,63.94,66.16,66.16,66.16,68.98,66.16,66.65
10,District 11,58.69,63.56,58.69,58.69,58.69,67.38,58.69,65.59
11,District 12,36.47,57.93,36.47,36.47,36.47,63.24,36.47,60.76
12,District 13,44.58,55.9,44.58,44.58,44.58,65.24,44.58,61.15
13,District 14,64.54,61.34,64.54,64.54,64.54,63.75,64.54,62.63
