PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
LEWIS METHODIST,59.78,71.52,67.57,100.0,64.58,70.14,60.49,68.92
WOODLAWN BAPT,67.65,73.38,60.0,0.0,80.0,75.92,70.91,74.74
PATRIOTS PARK,44.94,69.91,63.58,45.45,57.58,63.22,51.43,62.51
HARLEM MIDDLE SCHOOL,55.56,58.8,50.0,66.67,52.0,64.01,47.9,62.04
HARLEM BAPTIST,57.14,68.3,85.0,33.33,44.44,66.67,52.78,66.22
BESSIE THOMAS CENTER,57.14,61.15,47.37,100.0,100.0,69.64,47.22,67.61
PHILADELPHIA CHURCH,58.82,67.39,60.34,66.67,61.11,68.68,56.65,66.7
GROVETOWN CITY HALL,54.76,57.91,56.3,42.86,42.11,53.05,37.33,52.7
GROVETOWN METHODIST,40.62,54.62,42.73,60.0,42.37,50.08,37.33,49.31
G A APOSTOLIC CHURCH,60.0,67.93,75.86,100.0,66.67,66.58,37.01,64.46
GROVETOWN MIDDLE,48.72,62.2,47.06,0.0,42.0,57.78,46.46,56.52
WARREN BAPTIST,48.57,67.08,56.47,100.0,36.67,57.93,52.32,59.55
EUBANK/BLANCHARD CTR,57.14,73.3,37.5,100.0,55.56,71.54,53.16,70.28
SECOND MT. CARMEL,0.0,69.41,50.0,100.0,25.0,70.55,46.81,67.94
DAMASCUS BAPT,25.0,71.43,90.91,100.0,75.0,70.21,53.73,69.28
COL CTY BOARD OF EDU,42.86,66.86,55.22,100.0,71.79,66.75,47.57,64.47
GREENBRIER HIGH,60.0,76.16,53.19,75.0,85.71,74.88,63.42,73.14
REDEEMER CHURCH,64.21,72.4,60.67,50.0,62.34,69.32,64.76,68.81
RIVERSIDE ELEMENTARY,63.64,66.3,43.75,66.67,33.33,65.24,42.11,62.99
GRACE BAPTIST CHURCH,51.43,65.11,59.77,50.0,60.0,68.69,57.18,65.83
CHRIST SANCTIFIED,62.22,59.84,51.02,66.67,40.0,65.74,46.94,62.72
BLANCHARD PARK,52.17,59.2,55.56,50.0,55.56,64.87,51.72,62.88
MTZ COL FIRE DEPT #4,35.71,61.77,66.67,50.0,51.61,59.42,39.38,57.41
BELAIR BAPTIST CHURCH,48.53,68.91,51.06,80.0,50.0,71.06,55.39,67.94
MARVIN METHODIST,65.57,60.06,55.56,40.0,44.0,63.6,28.93,59.34
WESTSIDE BAPT CHURCH,45.45,70.08,60.0,100.0,50.0,74.24,57.5,71.54
TRINITY BAPT CHURCH,43.75,58.62,62.5,100.0,37.5,65.69,44.26,62.28
ABILENE BAPTIST,24.0,66.67,59.52,0.0,54.17,63.4,44.12,61.55
AUGUSTA CHRISTIAN,67.5,61.32,53.7,0.0,58.82,64.67,41.58,62.11
STEVENS CREEK ELEM,66.43,67.27,60.71,66.67,55.74,74.96,55.74,71.69
GOSPEL WATER BRANCH,59.14,69.17,52.63,100.0,37.93,73.72,58.9,70.07
GENESIS CHURCH,66.42,60.56,52.94,100.0,58.82,69.46,62.92,67.63
STEVENS CREEK,62.98,73.86,65.22,100.0,55.81,71.89,62.73,70.4
MTZ COL FIRE HDQTR.,40.91,60.47,65.71,66.67,46.67,59.56,40.34,57.77
LAKESIDE MIDDLE,63.04,59.47,64.0,0.0,51.35,60.0,37.56,57.8
MARTINEZ BAPTIST,44.07,58.88,46.77,0.0,46.88,61.49,35.96,57.32
GOLD CROSS EMS,55.56,61.07,62.86,33.33,68.0,68.51,47.17,66.01
CHURCH OF OUR SAVIOR,28.38,57.14,41.79,100.0,30.77,61.97,40.16,57.02
WEST ACRES BAPTIST,61.9,64.44,59.26,100.0,47.5,65.24,41.34,62.44
JOURNEY COMM.,66.67,60.0,150.0,50.0,50.0,72.83,48.0,70.73
WESLEY METHODIST,63.64,67.26,81.58,0.0,59.57,71.92,52.29,69.68
COL CTY MAIN LIBRARY,63.64,57.43,45.95,0.0,48.57,64.97,45.41,61.17
"CHRIST CHURCH,",63.51,60.57,61.36,66.67,61.36,68.56,58.84,66.64
BLUERIDGE ELEMENTARY,60.78,63.6,50.94,33.33,53.06,65.58,43.38,62.54
CHRIST THE KING CH,57.0,76.25,60.87,0.0,61.7,72.58,57.51,69.71
88888,0.0,0.0,0.0,0.0,0.0,200.0,inf,300.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,56.78,64.48,57.12,63.72,53.27,66.63,50.05,64.09
