PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
KIOKEE BAPT CHURCH,73.42,73.98,37.50,73.59
LEWIS METHODIST,67.13,70.57,40.00,68.92
WOODLAWN BAPT,72.67,76.76,0.00,74.74
PATRIOTS PARK,60.84,63.84,85.71,62.51
HARLEM MIDDLE SCHOOL,60.68,63.38,40.00,62.04
HARLEM BAPTIST,60.43,70.89,66.67,66.22
BESSIE THOMAS CENTER,66.19,68.89,100.0,67.61
PHILADELPHIA CHURCH,64.91,68.36,33.33,66.70
GROVETOWN CITY HALL,50.56,54.45,50.00,52.70
GROVETOWN METHODIST,45.87,52.28,0.00,49.31
G A APOSTOLIC CHURCH,64.50,64.42,0.00,64.46
GROVETOWN MIDDLE,54.48,58.22,50.00,56.52
WARREN BAPTIST,58.04,60.83,33.33,59.55
EUBANK/BLANCHARD CTR,68.21,72.22,0.00,70.28
SECOND MT. CARMEL,62.28,72.99,0.00,67.94
DAMASCUS BAPT,69.69,68.91,0.00,69.28
COL CTY BOARD OF EDU,63.93,65.06,0.00,64.47
GREENBRIER HIGH,71.52,74.62,66.67,73.14
REDEEMER CHURCH,66.75,70.78,50.00,68.81
RIVERSIDE ELEMENTARY,63.11,62.91,50.00,62.99
GRACE BAPTIST CHURCH,64.90,66.80,44.44,65.83
CHRIST SANCTIFIED,61.60,63.80,0.00,62.72
BLANCHARD PARK,58.83,66.43,33.33,62.88
MTZ COL FIRE DEPT #4,54.35,60.26,16.67,57.41
BELAIR BAPTIST CHURCH,65.48,70.16,60.00,67.94
MARVIN METHODIST,57.07,61.36,0.00,59.34
WESTSIDE BAPT CHURCH,70.58,72.57,33.33,71.54
TRINITY BAPT CHURCH,59.72,64.38,100.0,62.28
ABILENE BAPTIST,59.14,63.69,0.00,61.55
AUGUSTA CHRISTIAN,59.02,64.58,66.67,62.11
STEVENS CREEK ELEM,72.46,71.00,0.00,71.69
GOSPEL WATER BRANCH,68.66,71.41,66.67,70.07
GENESIS CHURCH,67.21,68.23,33.33,67.63
STEVENS CREEK,70.18,70.52,100.0,70.40
MTZ COL FIRE HDQTR.,53.47,61.42,0.00,57.77
LAKESIDE MIDDLE,55.82,59.74,50.00,57.80
MARTINEZ BAPTIST,52.93,60.78,0.00,57.32
GOLD CROSS EMS,63.50,68.23,0.00,66.01
CHURCH OF OUR SAVIOR,55.47,58.38,25.00,57.02
WEST ACRES BAPTIST,61.11,63.68,0.00,62.44
JOURNEY COMM.,68.10,73.38,0.00,70.73
WESLEY METHODIST,69.79,69.61,50.00,69.68
COL CTY MAIN LIBRARY,59.57,62.56,0.00,61.17
"CHRIST CHURCH,",64.82,68.34,80.00,66.64
BLUERIDGE ELEMENTARY,60.20,64.60,0.00,62.54
CHRIST THE KING CH,68.83,70.66,33.33,69.71
88888,inf00,100.0,0.00,300.0
99999,0.00,0.00,0.00,0.00
TOTAL,62.69,65.80,43.15,64.31
