PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
FOUR POINTS,57.16,60.49,33.33,58.86
GIRARD,59.38,70.03,0.0,64.9
GOUGH,63.94,71.43,0.0,67.7
GREENSCUT,58.89,64.2,0.0,61.71
KEYSVILLE,47.0,56.03,0.0,51.67
MIDVILLE,59.07,66.52,0.0,62.95
MUNNERLYN,57.64,70.77,0.0,63.87
SARDIS,60.67,62.45,0.0,61.68
SCOTTS CROSSROADS,55.91,79.26,0.0,67.94
TELFAIR,55.14,60.28,100.0,57.73
ST. CLAIR,64.25,74.88,0.0,69.95
VIDETTE,62.42,70.7,0.0,66.67
NORTH WAYNESBORO,54.95,67.36,0.0,62.14
SOUTH WAYNESBORO,67.01,71.45,60.0,69.49
BLAKENEY,53.51,62.83,0.0,59.34
TOTAL,59.05,66.43,50.0,63.07
