PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1A,67.54,73.04,0.00,70.29
1B,60.19,63.67,33.33,61.97
1C,59.18,67.24,0.00,63.24
1D,64.78,67.18,75.00,66.05
2A,67.26,71.81,60.00,69.59
2B,57.97,63.92,20.00,60.97
2C,66.84,68.71,50.00,67.82
3A,57.75,63.43,100.0,60.82
3B,60.79,67.22,0.00,64.10
3C,57.78,65.80,0.00,61.96
3D,63.06,68.53,50.00,65.92
4A,59.92,62.79,100.0,61.50
4B,55.94,62.38,100.0,59.31
4C,56.90,60.18,80.00,58.65
5A,57.91,61.27,50.00,59.65
5B,57.03,59.31,40.00,58.23
5C,60.91,66.21,0.00,63.70
99999,0.00,0.00,0.00,0.00
TOTAL,60.63,64.92,54.17,62.86
