AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,44.52,0.0,100.0,66.67,52.24,42.0,46.88
30-34,0.0,47.83,50.0,0.0,40.0,55.27,31.25,49.57
35-39,0.0,57.18,100.0,0.0,0.0,67.04,58.33,60.89
40-44,100.0,55.7,20.0,0.0,100.0,70.17,57.58,61.13
45-49,25.0,63.09,100.0,100.0,0.0,72.7,43.75,65.73
50-54,0.0,65.69,50.0,0.0,100.0,76.63,61.36,69.69
55-59,100.0,68.84,100.0,100.0,0.0,76.03,66.67,72.02
60-64,33.33,70.97,0.0,0.0,100.0,81.46,73.68,75.36
65-OVER,50.0,70.39,25.0,0.0,60.0,76.09,57.35,72.97
TOTAL,40.0,61.8,45.83,100.0,61.11,72.25,54.55,65.86
