AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,49.64,0.0,0.0,0.0,44.06,51.85,47.25
30-34,0.0,57.14,50.0,0.0,33.33,49.79,40.91,52.37
35-39,0.0,62.76,40.0,0.0,0.0,58.71,70.97,60.64
40-44,50.0,69.19,50.0,0.0,0.0,55.38,47.37,61.03
45-49,0.0,66.99,0.0,0.0,33.33,65.4,68.18,65.73
50-54,100.0,74.68,50.0,0.0,66.67,65.89,46.43,68.4
55-59,0.0,74.18,40.0,100.0,100.0,68.89,45.16,70.01
60-64,50.0,78.91,33.33,0.0,100.0,76.57,59.09,76.66
65-OVER,0.0,75.91,83.33,0.0,0.0,74.97,59.38,74.92
TOTAL,36.36,68.87,46.88,33.33,47.37,66.28,54.7,66.66
