AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,33.33,42.86,21.43,50.00,33.33,44.52,35.98,42.53
25-29,60.00,12.50,40.00,0.00,0.00,29.50,33.82,30.13
30-34,25.00,50.00,0.00,0.00,57.14,47.28,43.93,46.74
35-39,28.57,28.57,50.00,0.00,60.00,52.74,62.82,53.17
40-44,40.00,25.00,57.14,0.00,20.00,56.65,51.32,55.68
45-49,0.00,33.33,25.00,100.0,0.00,60.99,52.73,59.90
50-54,20.00,100.0,0.00,100.0,100.0,66.67,56.79,65.48
55-59,66.67,50.00,50.00,0.00,0.00,70.23,61.29,69.39
60-64,50.00,28.57,33.33,0.00,200.0,73.42,70.91,72.77
65-OVER,20.00,53.85,33.33,100.0,40.00,66.30,68.10,66.15
TOTAL,34.88,39.06,31.03,50.00,44.44,58.32,49.90,57.19
