PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1-01C,65.91,68.42,85.71,67.30
1-05C,56.68,62.46,66.67,59.72
1-06C,71.52,73.19,100.0,72.44
1-08C,60.41,65.05,66.67,62.98
1-09C,39.12,48.40,50.00,44.09
1-10C,76.12,76.02,0.00,76.06
1-12C,74.19,78.50,100.0,76.47
1-13C,60.95,65.98,0.00,63.77
1-14C,68.34,74.06,0.00,71.33
1-16C,65.35,72.03,33.33,68.85
1-17C,65.22,66.43,100.0,65.92
2-02C,32.75,44.13,80.00,38.97
2-03C,39.34,49.89,25.00,44.56
2-04C,39.25,58.68,60.00,49.91
2-05C,40.92,57.18,66.67,49.38
2-06C,39.29,54.29,0.00,47.85
2-07C,44.51,62.82,0.00,54.85
2-09C,44.23,58.90,42.86,52.36
2-11C,40.55,60.06,33.33,51.27
2-12C,35.28,46.10,100.0,40.58
3-01C,50.95,48.52,0.00,49.76
3-02C,52.00,55.18,25.00,53.61
3-03C,33.40,51.84,0.00,44.19
3-04C,42.67,62.41,0.00,53.66
3-05C,41.13,56.32,0.00,49.54
3-08C,53.78,63.88,100.0,59.33
3-09C,70.45,72.93,100.0,71.91
3-10C,43.59,61.89,0.00,53.66
3-11C,46.39,63.16,0.00,55.53
3-12C,54.60,63.84,0.00,59.58
3-13C,39.07,50.39,16.67,45.30
3-14C,53.43,67.73,62.50,61.19
3-15C,71.05,80.05,0.00,75.63
4-02C,55.49,61.24,100.0,58.54
4-04C,63.82,68.13,100.0,66.13
4-05C,66.86,69.41,50.00,68.24
4-06C,68.04,71.35,100.0,69.79
4-07C,61.53,64.14,100.0,62.96
4-08C,66.53,70.39,100.0,68.71
4-10C,67.16,69.53,50.00,68.39
4-11C,65.04,66.49,66.67,65.83
4-12C,76.43,76.84,25.00,76.56
4-13C,79.37,80.05,0.00,79.66
4-14C,77.62,77.34,0.00,77.42
4-15C,76.17,77.99,100.0,77.19
5-01C,42.22,59.19,0.00,51.65
5-02C,31.67,47.27,0.00,39.98
5-03C,36.91,56.36,0.00,47.57
5-05C,51.96,70.59,50.00,62.11
5-06C,31.87,50.59,28.57,42.33
5-07C,37.23,50.21,37.50,44.48
5-08C,49.28,56.95,80.00,53.90
5-10C,42.99,58.76,28.57,52.04
5-11C,45.20,56.70,66.67,51.88
6-01C,50.25,59.90,0.00,55.63
6-02C,71.12,73.91,66.67,72.64
6-03C,60.32,68.14,0.00,64.42
6-05C,51.08,58.83,0.00,55.43
6-06C,49.13,58.40,0.00,54.65
6-08C,48.31,56.79,0.00,53.41
6-09C,53.98,60.84,44.44,57.98
6-10C,57.26,62.85,100.0,60.35
6-11C,46.24,53.40,87.50,50.34
7-01C,52.39,59.97,33.33,56.46
7-03C,59.19,65.72,0.00,62.58
7-04C,54.03,61.66,42.86,58.20
7-05C,42.12,51.44,100.0,47.19
7-06C,54.27,61.66,33.33,58.42
7-07C,54.17,59.66,42.86,57.03
7-08C,58.59,59.62,0.00,59.13
7-09C,46.95,56.36,25.00,51.98
7-10C,44.73,52.46,50.00,49.03
7-11C,51.73,59.16,16.67,55.59
7-12C,58.15,65.19,60.00,61.89
7-13C,71.50,74.76,100.0,73.23
7-14C,50.65,59.91,61.54,55.83
8-01C,18.37,19.91,0.00,19.03
8-02C,38.40,43.87,40.00,41.25
8-03C,50.96,55.75,100.0,53.55
8-05C,27.05,49.90,50.00,41.02
8-06C,34.99,49.92,0.00,42.97
8-07C,44.96,62.92,0.00,54.43
8-08C,40.65,59.81,0.00,50.87
8-09C,39.35,63.69,0.00,53.41
8-10C,42.46,62.90,100.0,53.63
8-11C,57.78,75.13,0.00,67.42
8-12C,36.44,47.97,33.33,42.74
8-13C,39.14,46.91,33.33,43.01
8-15C,41.68,56.24,0.00,49.43
88888,0.00,50.00,0.00,25.00
99999,0.750,1.330,0.00,0.920
TOTAL,52.34,61.09,41.81,57.10
