PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SAMMY MCCLURE MID SC,70.69,74.35,80.00,72.56
NORTHSIDE ELEM SCH,70.89,71.93,100.0,71.46
MOSES MIDDLE SCHOOL,68.15,72.08,66.67,70.23
RUSSOM ELEM SCH,68.13,71.50,88.89,69.91
MT TABOR PARK,63.69,68.14,66.67,66.09
WATSON GOVT COMPLEX,57.83,60.88,57.14,59.53
P B RITCH MIDD SCH,60.44,67.43,50.00,64.35
SARA RAGSDALE ELM SC,61.95,65.36,71.43,63.75
PAULDING CO HIGH SC,60.79,65.45,25.00,63.26
HIRAM HIGH SCHOOL,60.33,67.18,66.67,64.13
TAYLOR FARM PARK,65.05,69.79,78.57,67.61
AUSTIN MIDDLE SCHOOL,63.09,67.73,71.43,65.59
NEBO ELEMENTARY SCH,62.61,67.21,83.33,65.05
CARL SCOGGINS MID SC,64.49,70.48,100.0,67.68
88888,0.00,0.00,0.00,0.00
TOTAL,64.14,68.43,72.15,66.44
