AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,57.14,44.68,44.44,50.00,15.38,60.74,40.82,55.11
25-29,40.00,47.97,50.00,0.00,0.00,57.23,35.00,53.28
30-34,33.33,48.53,46.15,0.00,100.0,70.87,53.49,64.33
35-39,25.00,61.84,70.00,0.00,100.0,74.89,44.19,70.17
40-44,75.00,61.84,57.14,0.00,50.00,79.64,50.00,74.67
45-49,50.00,65.68,100.0,100.0,75.00,82.57,64.29,78.63
50-54,60.00,72.05,90.91,100.0,100.0,84.94,58.62,81.21
55-59,66.67,69.50,77.78,0.00,100.0,85.45,59.57,80.57
60-64,100.0,74.07,100.0,0.00,100.0,85.12,72.34,82.49
65-OVER,42.86,74.39,80.00,0.00,100.0,86.73,72.37,84.31
TOTAL,54.72,63.58,62.50,57.14,57.89,79.33,54.66,74.79
