PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
ROCKBRIDGE A,47.37,65.43,52.38,25.0,44.58,66.52,54.63,63.52
DACULA,52.03,63.8,59.61,37.5,63.64,68.96,50.92,64.07
SUWANEE A,41.96,63.67,59.7,0.0,33.33,64.02,43.51,58.71
BAYCREEK A,47.95,68.65,53.85,50.0,50.0,73.98,58.89,69.6
GOODWINS A,45.36,65.02,57.31,100.0,65.35,67.16,48.09,61.95
DULUTH A,53.96,69.97,70.33,72.73,65.29,70.55,50.89,66.01
DUNCANS A,49.59,72.5,63.8,100.0,71.23,74.59,61.6,71.82
PUCKETTS A,53.28,67.46,69.27,100.0,59.46,71.47,56.67,68.76
CATES A,53.7,62.5,44.94,60.0,64.71,71.65,53.96,66.91
BERKSHIRE A,48.99,60.17,52.55,16.67,54.41,65.64,38.51,56.29
BERKSHIRE B,58.0,56.88,55.14,60.0,61.11,68.32,39.26,57.88
DUNCANS C,53.4,73.44,71.88,60.0,67.27,74.85,63.54,72.6
GARNERS A,56.02,69.87,67.02,40.0,69.81,73.07,61.13,70.63
LAWRENCEVILLE A,40.0,47.93,50.98,66.67,46.59,60.36,46.21,54.02
LAWRENCEVILLE B,42.65,66.82,60.85,66.67,54.87,66.96,49.9,62.8
MARTINS A,36.25,58.85,58.59,0.0,52.63,59.09,40.37,54.47
MARTINS B,45.34,59.29,61.34,33.33,45.1,67.17,42.73,58.49
MARTINS C,46.91,70.17,56.16,50.0,60.34,68.72,52.94,64.86
PINKCNEYVILLE A,41.44,50.0,53.83,50.0,43.59,56.26,36.84,49.34
PINCKNEYVILLE B,44.69,48.85,55.06,33.33,46.73,62.12,34.87,50.06
PINCKNEYVILLE C,60.64,66.42,63.79,50.0,82.14,75.49,62.99,72.02
PINCKNEYVILLE D,43.5,50.68,51.12,0.0,39.62,58.89,36.0,49.19
SUGAR HILL A,52.24,56.14,49.19,50.0,56.9,62.48,49.33,58.36
SUGAR HILL B,49.19,63.51,67.03,50.0,59.81,65.62,53.49,63.54
HOG MOUNTAIN A,43.12,61.08,58.82,80.0,55.24,64.51,44.98,59.41
HOG MOUNTAIN B,58.06,67.76,68.75,66.67,58.21,73.71,61.15,70.1
ROCKYCREEK A,46.0,66.29,61.42,60.0,60.75,72.37,57.89,67.96
CATES B,56.25,64.43,72.13,0.0,62.5,74.0,50.39,70.51
CATES C,54.84,65.65,55.42,66.67,60.0,70.07,51.45,65.49
HOG MOUNTAIN D,55.22,71.43,51.15,40.0,54.05,70.92,57.86,67.16
BERKSHIRE D,57.73,69.21,62.4,25.0,57.14,74.73,58.8,69.73
BERKSHIRE E,55.36,71.68,68.97,50.0,68.97,77.35,63.69,72.23
BERKSHIRE F,46.54,59.68,49.57,50.0,51.52,62.76,35.46,53.94
CATES D,54.84,69.88,57.8,50.0,61.46,72.32,54.41,68.18
CATES E,57.62,77.84,65.12,66.67,64.62,74.63,63.24,72.76
PINCKNEYVILLE E,56.82,41.58,49.79,0.0,48.61,56.0,28.05,44.37
PINCKNEYVILLE F,38.15,45.38,48.65,87.5,44.93,57.76,33.33,47.22
DUNCANS D,39.62,64.26,61.63,66.67,59.34,72.77,59.58,69.19
PINCKNEYVILLE H,53.0,58.1,60.61,50.0,61.06,75.05,50.23,66.02
BAYCREEK B,60.78,66.95,56.18,42.86,52.38,68.81,52.96,65.21
LAWRENCEVILLE C,33.33,64.69,59.55,33.33,54.69,70.21,53.75,65.2
MARTINS D,52.8,50.92,49.79,50.0,51.47,51.47,42.25,49.95
ROCKBRIDGE B,53.75,64.14,54.97,40.0,53.1,62.03,46.88,60.95
GARNERS B,50.0,68.12,51.61,50.0,61.64,72.66,49.41,67.04
CATES F,60.56,67.1,69.23,66.67,72.22,73.25,62.07,70.9
CATES G,60.69,74.18,70.59,70.0,70.42,72.08,57.67,70.41
DULUTH B,41.07,57.92,50.93,20.0,50.0,68.32,43.58,58.73
GARNERS C,57.04,58.03,51.79,20.0,68.12,71.4,41.08,63.13
PINCKNEYVILLE I,37.28,56.49,55.38,50.0,49.43,60.03,35.84,52.56
PINCKNEYVILLE J,45.89,49.28,46.22,25.0,44.3,54.98,32.16,47.09
BERKSHIRE G,64.92,73.33,67.8,71.43,67.61,75.84,57.14,72.62
CATES H,48.08,57.5,52.82,25.0,54.9,67.85,47.56,59.46
SUGAR HILL C,53.75,65.66,66.81,20.0,63.86,70.82,57.11,67.76
SUGAR HILL D,46.03,58.49,51.91,0.0,58.73,69.75,50.68,63.9
DULUTH C,42.86,57.32,50.72,33.33,63.64,68.04,46.03,60.79
DULUTH D,43.05,58.79,57.46,60.0,55.81,64.52,37.72,56.56
PINCKNEYVILLE K,45.06,46.96,49.82,50.0,47.86,57.52,36.46,47.93
PINCKNEYVILLE N,45.54,45.32,44.61,57.14,45.63,55.39,31.81,45.73
LAWRENCEVILLE D,45.45,49.88,48.66,14.29,48.11,53.3,38.29,49.12
LAWRENCEVILLE E,42.7,63.25,63.86,50.0,57.58,71.89,54.76,66.68
PINCKNEYVILLE L,61.54,70.59,76.32,50.0,68.63,79.16,67.95,76.89
PINCKNEYVILLE M,59.51,67.74,80.0,100.0,68.75,75.61,60.57,72.86
GARNERS D,43.33,64.21,44.66,50.0,50.7,67.32,49.0,62.83
BERKSHIRE H,49.33,57.32,59.46,28.57,63.08,69.2,39.15,57.94
PINCKNEYVILLE O,48.69,50.66,44.69,14.29,43.97,62.8,35.45,50.2
PUCKETTS E,47.51,63.56,58.95,50.0,61.86,69.12,55.85,63.6
CATES I,60.06,71.78,61.65,33.33,54.7,71.63,49.22,67.38
CATES J,59.4,65.91,58.59,75.0,57.26,72.94,51.6,66.99
GOODWINS B,52.61,69.25,60.23,100.0,61.22,69.42,51.53,66.27
LAWRENCEVILLE F,48.5,64.47,59.69,20.0,56.35,63.75,49.1,61.1
MARTINS E,36.56,43.94,39.3,37.5,40.74,40.06,33.18,40.99
PINCKNEYVILLE P,49.12,52.74,57.33,100.0,56.6,71.94,48.1,63.16
PINCKNEYVILLE Q,46.91,53.75,53.99,100.0,40.32,61.25,36.33,51.71
ROCKBRIDGE C,59.63,69.88,55.47,85.71,57.97,65.66,51.22,65.94
ROCKBRIDGE D,46.55,68.28,61.83,0.0,61.04,70.97,54.84,67.01
GOODWINS C,51.16,63.46,54.74,83.33,54.61,63.65,47.29,59.23
BAYCREEK K,66.41,73.33,55.47,100.0,57.65,71.78,63.52,70.27
CATES K,54.26,60.97,59.09,0.0,63.46,74.44,55.98,69.09
BAYCREEK C,60.29,69.87,69.4,62.5,63.4,71.43,59.87,68.99
CATES L,55.88,65.65,57.14,66.67,61.68,66.9,51.78,64.18
DULUTH E,46.7,56.42,56.44,56.25,51.9,60.91,41.29,54.97
GOODWINS D,46.75,60.85,59.27,37.5,57.6,66.34,51.38,61.28
LAWRENCEVILLE G,55.79,62.14,59.35,28.57,56.57,65.01,45.53,59.35
LAWRENCEVILLE H,59.51,67.67,66.67,83.33,62.14,70.64,55.87,67.67
MARTINS F,42.25,50.35,56.07,0.0,53.95,59.17,38.94,51.38
PINCKNEYVILLE S,45.56,53.61,56.71,50.0,54.12,69.3,40.06,57.11
ROCKBRIDGE E,49.15,58.49,50.0,33.33,47.73,60.64,45.06,56.73
SUGAR HILL E,46.88,66.94,62.86,100.0,64.81,69.71,51.06,65.88
LAWRENCEVILLE I,43.64,57.94,60.31,0.0,42.99,60.14,48.05,56.99
BAYCREEK D,51.02,71.39,67.55,66.67,61.68,72.61,60.43,70.12
BERKSHIRE J,63.64,71.68,68.97,80.0,66.67,76.77,59.61,73.27
CATES M,61.16,69.81,64.55,57.14,64.41,71.65,54.96,68.88
CATES N,61.54,65.98,57.33,33.33,56.9,73.09,57.4,69.62
DULUTH F,35.54,58.25,49.49,60.0,50.36,55.32,39.57,50.73
DULUTH G,45.91,65.55,59.6,80.0,52.94,74.19,53.9,65.74
GOODWINS E,47.83,63.52,62.59,50.0,54.41,69.03,46.85,62.28
GOODWINS F,44.41,67.86,59.81,66.67,62.77,66.41,49.17,61.75
PINCKNEYVILLE T,45.3,63.62,53.7,100.0,50.53,66.92,44.29,58.67
SUWANEE B,47.41,72.45,74.31,57.14,60.34,72.3,56.53,66.99
PINCKNEYVILLE U,53.49,47.45,54.93,66.67,60.0,72.3,40.27,59.08
PUCKETTS B,39.64,68.53,63.7,66.67,62.0,74.99,53.56,69.05
BERKSHIRE L,44.11,59.25,52.32,40.0,41.1,66.0,37.77,55.43
ROCKBRIDGE F,50.67,66.46,55.77,50.0,56.76,71.12,57.4,65.93
SUGAR HILL F,51.25,60.85,59.06,70.0,65.22,67.68,50.72,63.15
SUWANEE C,41.18,69.0,61.75,66.67,57.76,69.64,51.41,62.79
CATES O,53.1,75.0,73.91,25.0,65.91,71.61,46.58,67.23
BAYCREEK E,68.29,64.09,48.61,0.0,47.3,66.78,50.17,62.88
BERKSHIRE M,48.28,72.73,67.61,0.0,63.83,77.45,53.99,70.52
MARTINS G,41.96,59.31,58.68,100.0,46.27,61.13,37.94,55.93
DULUTH H,55.09,59.76,54.69,75.0,53.12,67.37,51.55,62.31
BERKSHIRE N,65.57,73.22,70.0,60.0,66.67,75.33,55.46,72.56
PINCKNEYVILLE V,47.08,53.78,63.13,75.0,50.0,70.06,43.18,57.31
PINCKNEYVILLE W,45.36,53.79,58.24,57.14,46.15,74.79,45.41,60.88
MARTINS H,45.24,60.65,55.74,40.0,55.97,63.87,44.44,57.23
MARTINS I,41.25,58.53,53.11,55.56,51.97,53.96,38.95,51.28
MARTINS J,44.68,51.85,55.11,33.33,44.63,56.32,39.57,50.8
GARNERS F,66.09,69.59,69.44,100.0,52.94,70.68,51.77,68.14
BERKSHIRE O,60.37,68.1,54.41,50.0,56.67,73.88,58.18,69.59
BERKSHIRE P,57.65,51.23,57.34,0.0,56.41,65.36,37.82,57.16
PINCKNEYVILLE X,51.28,62.59,57.89,60.0,61.68,75.37,53.71,66.99
ROCKBRIDGE G,60.53,63.13,47.53,0.0,56.67,66.09,55.63,62.49
PINCKNEYVILLE Y,50.81,50.92,57.22,44.44,41.75,57.23,39.46,51.29
GOODWINS G,39.87,58.84,59.5,100.0,53.97,59.86,47.27,56.59
PINCKNEYVILLE Z,57.14,85.42,76.32,100.0,78.05,78.09,68.52,76.74
PINCKNEYVILLE A1,58.87,78.4,80.56,0.0,65.08,74.46,60.92,72.58
LAWRENCEVILLE J,55.84,62.53,59.06,66.67,51.79,65.85,37.71,60.11
GOODWINS H,49.25,66.53,60.48,100.0,53.62,68.06,52.96,63.9
DUNCANS B,50.93,63.62,58.75,50.0,63.08,73.44,60.59,69.79
SUWANEE D,58.54,74.46,65.25,60.0,62.24,73.54,60.65,70.49
SUWANEE E,56.29,68.97,63.27,50.0,67.74,74.68,56.1,70.44
LAWRENCEVILLE K,49.62,70.46,62.64,62.5,61.8,72.06,54.0,67.22
HARBINS B,47.83,71.96,61.69,0.0,58.93,70.07,53.72,67.78
BAYCREEK F,59.63,67.71,64.42,33.33,56.44,69.03,56.37,66.2
PUCKETTS C,48.48,67.76,61.26,33.33,60.38,71.85,50.16,67.13
HOG MOUNTAIN C,49.37,61.35,59.13,66.67,42.7,65.22,53.43,61.8
ROCKYCREEK B,52.41,67.34,61.14,100.0,69.7,71.77,56.94,67.8
DULUTH I,50.2,72.35,64.44,64.29,64.52,70.63,54.09,62.56
MARTINS K,46.62,64.33,59.57,44.44,60.0,60.69,48.78,58.76
SUWANEE H,55.24,70.89,73.86,77.78,65.75,74.09,62.91,71.24
