PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
01 BIG CREEK,14.81,14.44,4.76,14.60
02 BRANDYWINE,6.84,5.50,0.00,6.11
03 BROWNS BRIDGE,15.91,14.24,14.29,15.06
04 CHESTATEE,18.05,16.10,0.00,17.03
05 COAL MOUNTAIN,18.27,18.89,11.11,18.57
06 CROSSROADS,18.89,19.07,50.00,19.00
07 CUMMING,17.96,16.94,16.67,17.37
08 MASHBURN,19.20,18.63,9.09,18.89
10 MIDWAY,14.72,13.39,7.41,14.02
15 HEARDSVILLE,19.97,17.76,8.33,18.80
16 OTWELL,17.97,16.59,16.67,17.23
19 OLD ATLANTA,11.08,10.45,0.00,10.75
21 SOUTH FORSYTH,13.83,13.44,9.09,13.63
25 WINDERMERE,13.44,12.72,14.29,13.07
27 CONCORD,21.01,21.52,20.00,21.27
29 POLO,14.38,12.89,8.00,13.59
TOTAL,15.84,14.92,9.78,15.35
