AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.28,3.33,50.00,0.00,8.50,6.15,6.12
25-29,9.09,3.04,0.00,0.00,0.00,6.84,1.95,4.88
30-34,0.00,5.62,0.00,0.00,18.18,11.33,3.59,8.55
35-39,0.00,8.03,4.76,0.00,0.00,16.59,6.76,12.58
40-44,8.70,9.19,7.89,0.00,15.79,20.81,7.75,15.80
45-49,13.04,12.63,6.25,0.00,9.52,25.34,10.07,19.93
50-54,12.00,13.89,7.69,0.00,14.29,27.54,5.92,21.77
55-59,5.88,18.78,18.52,0.00,20.00,29.10,9.63,24.94
60-64,0.00,25.08,4.55,50.00,25.00,36.51,7.48,31.92
65-OVER,9.09,27.91,12.90,0.00,19.23,40.29,26.07,37.20
TOTAL,6.51,12.82,5.24,15.00,9.39,26.43,8.72,20.92
