PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
BARWICK,11.54,13.23,0.00,12.42
BOSTON,6.76,8.34,0.00,7.62
CENTRAL,8.96,9.30,0.00,9.15
COOLIDGE,7.90,6.25,0.00,7.03
DOUGLASS,6.86,8.65,0.00,7.93
ELLABELLE,8.43,7.28,0.00,7.82
FIRE STATION #2,10.83,9.39,0.00,10.04
GATLIN CREEK,13.55,11.27,0.00,12.32
HARPER,8.48,9.34,0.00,8.97
JERGER,11.44,11.90,0.00,11.69
MEIGS,16.22,22.78,0.00,19.86
MERRILVILLE,10.25,9.74,0.00,9.97
METCALFE,10.14,7.05,0.00,8.55
NEW COVENANT,8.03,7.55,0.00,7.78
OCHLOCKNEE,7.17,5.42,0.00,6.24
PATTEN,10.75,6.34,0.00,8.44
PAVO,9.62,7.78,0.00,8.63
REMINGTON ESC,8.14,7.91,0.00,8.01
RESOURCE CENTER,10.52,15.63,0.00,13.42
SCOTT,11.55,9.70,0.00,10.48
99999,0.00,0.00,0.00,0.00
TOTAL,9.59,9.69,0.00,9.64
