PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
01,16.74,17.30,0.00,17.03
02,13.07,16.35,0.00,15.03
03,17.56,18.21,50.00,17.95
04,27.28,29.10,0.00,28.26
05,22.49,28.48,0.00,25.96
06,22.56,22.88,0.00,22.74
07,18.69,23.68,0.00,21.62
08,25.42,30.08,0.00,28.13
09,22.59,22.06,0.00,22.30
10,17.13,23.30,0.00,20.87
11,31.37,39.46,0.00,36.07
12,14.98,22.70,0.00,19.74
13,11.17,18.29,0.00,15.24
14,11.88,22.00,0.00,17.82
15,8.590,11.29,0.00,10.12
16,3.060,8.840,0.00,6.010
17,15.46,24.83,0.00,21.21
18,15.32,21.09,0.00,18.77
19,18.77,20.98,0.00,19.95
20,20.97,24.26,100.0,22.73
21,19.57,24.64,0.00,22.42
22,13.74,17.62,0.00,16.00
23,14.62,22.05,0.00,18.68
24,16.52,20.55,0.00,18.97
25,24.72,24.15,0.00,24.40
26,28.96,37.39,0.00,33.79
27,20.83,23.96,100.0,22.58
28,1.410,2.810,0.00,2.300
99999,0.00,0.00,0.00,0.00
TOTAL,18.02,22.09,8.820,20.35
