PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
LOCUST GROVE,8.72,10.07,0.00,9.46
TUSSAHAW,14.70,15.47,33.33,15.11
SANDY RIDGE,11.01,11.68,0.00,11.36
WESTSIDE,4.66,5.94,0.00,5.41
LOWES,9.72,9.09,0.00,9.37
SOUTH HAMPTON,13.41,14.46,100.0,14.00
NORTH HAMPTON,11.10,11.71,0.00,11.44
MOUNT CARMEL,11.48,11.58,0.00,11.52
RED OAK,10.55,12.56,0.00,11.68
WESLEY LAKES,8.02,9.88,0.00,9.07
MCDONOUGH,12.63,12.10,0.00,12.31
MCMULLEN,13.77,14.91,0.00,14.36
EAST LAKE,16.36,15.53,0.00,15.91
HICKORY FLAT,10.80,11.79,0.00,11.35
STOCKBRIDGE EAST,7.18,8.13,0.00,7.73
STOCKBRIDGE WEST,6.24,8.99,0.00,7.87
STAGECOACH,8.20,10.20,0.00,9.30
COTTON INDIAN,11.08,9.72,0.00,10.34
PLEASANT GROVE,13.36,13.07,0.00,13.20
AUSTIN ROAD,12.59,14.25,0.00,13.49
SWAN LAKE,11.34,11.10,0.00,11.21
SHAKERAG,11.73,14.81,0.00,13.47
ELLENWOOD,16.27,18.60,0.00,17.52
UNITY GROVE,14.42,14.70,0.00,14.56
SHILOH,9.39,10.27,0.00,9.91
PATES CREEK,12.51,12.95,0.00,12.75
OAKLAND,14.82,14.07,0.00,14.42
LAKE DOW,18.02,16.20,0.00,17.05
FLIPPEN,11.23,13.19,0.00,12.30
STOCKBRIDGE CENTRAL,6.58,5.75,0.00,6.10
KELLEYTOWN,16.57,15.99,0.00,16.25
LIGHTHOUSE,13.08,13.75,0.00,13.44
DUTCHTOWN,14.48,15.03,0.00,14.76
MT. BETHEL,11.69,10.30,33.33,10.98
GROVE PARK,11.49,11.54,0.00,11.51
LAKE HAVEN,13.49,12.09,0.00,12.74
MCDONOUGH CENTRAL,14.21,15.30,0.00,14.82
TIMBERRIDGE,17.93,17.51,0.00,17.71
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,11.70,12.07,5.00,11.90
