PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ODUM,45.29,41.42,0.00,43.20
MADRAY SPRINGS,39.23,37.21,0.00,38.13
OGLETHORPE,36.38,34.33,0.00,35.30
SCREVEN,30.46,30.61,0.00,30.53
RITCH,37.11,38.27,0.00,37.69
EMPIRE,41.96,40.42,0.00,41.16
RED HILL,37.27,33.93,50.00,35.52
ALTAMAHA,23.83,21.05,0.00,22.30
GARDI,32.97,33.33,0.00,33.17
MT PLEASANT,32.89,24.24,0.00,28.39
VFW,14.76,13.02,0.00,13.63
PINE STREET,28.54,24.09,0.00,25.98
UNITY,29.92,30.08,0.00,30.01
REC CENTER,34.23,28.59,0.00,31.13
EAST JESUP,28.57,32.93,0.00,31.03
TOTAL,32.27,29.21,25.00,30.58
