AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,3.28,7.39,4.29,5.00,7.10,7.53,4.16,6.84
25-29,2.50,2.93,1.85,0.00,0.83,4.08,3.18,3.57
30-34,5.10,7.24,3.70,0.00,4.29,8.37,7.28,7.74
35-39,2.38,9.90,3.91,0.00,6.15,12.26,9.69,10.76
40-44,5.19,13.22,6.83,0.00,10.81,15.51,11.65,13.88
45-49,4.97,17.87,6.90,0.00,11.11,18.19,13.20,16.87
50-54,11.32,19.38,5.38,25.00,20.00,21.03,14.51,19.47
55-59,12.71,23.76,9.92,100.0,15.38,26.12,18.61,24.44
60-64,10.00,33.18,12.16,0.00,17.54,31.59,19.97,30.42
65-OVER,9.30,37.73,14.18,0.00,28.23,41.05,26.73,38.88
TOTAL,6.63,18.82,6.32,6.98,12.15,23.41,13.10,20.59
