PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
0001,0.00,12.72,0.00,50.00,10.00,28.40,8.560,23.75
0002,0.00,5.980,11.11,50.00,0.00,27.80,10.95,25.41
3A,0.00,26.09,20.00,0.00,0.00,33.49,10.47,31.80
3B,0.00,33.33,0.00,0.00,0.00,39.04,12.99,36.73
4A,0.00,16.46,0.00,0.00,0.00,30.95,8.220,26.94
4B,0.00,17.65,0.00,0.00,0.00,32.36,20.00,30.39
4C,0.00,9.090,0.00,0.00,0.00,34.34,12.73,31.78
4D,0.00,0.00,0.00,0.00,50.00,35.09,21.43,33.20
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,0.00,13.41,4.620,33.33,6.900,31.25,10.63,28.02
