PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
01,14.62,15.06,0.00,14.87
02,12.80,17.36,0.00,15.54
03,11.51,15.10,0.00,13.52
04,20.35,17.76,0.00,18.90
05,16.18,15.67,0.00,15.89
06,15.52,14.90,0.00,15.20
07,24.83,23.24,0.00,23.99
08,10.66,10.83,0.00,10.76
09,8.990,12.87,0.00,11.10
10,10.17,10.57,0.00,10.38
12,21.18,17.89,0.00,19.46
13,11.81,13.54,0.00,12.77
14,18.97,17.70,0.00,18.29
15,25.12,23.12,0.00,24.07
16,19.65,22.63,0.00,21.17
17,20.53,20.51,0.00,20.52
18,9.380,9.680,0.00,9.540
19,10.52,11.54,0.00,11.07
20,9.360,11.20,0.00,10.37
23,7.220,9.230,0.00,8.470
24,9.540,12.23,0.00,11.18
25,25.62,22.60,0.00,24.09
TOTAL,14.16,14.64,0.00,14.42
