PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
LOCKHART,47.46,45.37,100.0,46.42
EMIT,24.31,25.19,0.00,24.74
STATESBORO,22.09,22.06,0.00,22.07
PORTAL,40.35,43.94,0.00,42.29
FAIR,25.52,24.87,0.00,25.17
CHURCH,23.14,23.76,0.00,23.49
PITTMAN PARK,8.06,8.66,0.00,8.36
LEEFIELD,26.86,25.90,0.00,26.34
BLITCH,45.36,44.76,0.00,45.05
HAGIN,29.45,27.09,0.00,28.18
BROOKLET,26.69,30.01,0.00,28.46
STILSON,17.90,20.13,0.00,19.06
BAY,21.88,21.52,0.00,21.70
NEVILS,29.62,31.55,0.00,30.62
SINKHOLE,35.55,33.33,0.00,34.38
REGISTER,24.69,24.03,0.00,24.31
99999,0.00,0.00,0.00,0.00
TOTAL,23.55,24.11,6.25,23.84
