PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
010,22.59,19.72,0.00,21.05
015,15.87,14.54,0.00,15.16
016,21.68,20.00,0.00,20.83
017,10.11,8.270,0.00,9.100
020,15.36,13.09,0.00,14.12
021,11.92,11.26,0.00,11.54
025,16.69,13.83,0.00,15.20
026,10.80,9.310,0.00,9.970
030,7.980,7.030,0.00,7.450
031,9.150,8.000,0.00,8.500
032,19.97,16.21,0.00,17.92
033,10.09,7.370,16.67,8.600
034,8.880,8.160,0.00,8.460
040,18.93,17.73,0.00,18.30
050,14.95,15.67,0.00,15.33
051,20.40,18.83,0.00,19.55
060,15.53,15.74,0.00,15.64
061,17.78,15.29,0.00,16.48
062,18.76,16.27,0.00,17.47
063,18.69,14.47,0.00,16.44
064,14.10,13.30,0.00,13.66
065,18.13,17.02,0.00,17.53
070,17.27,15.78,0.00,16.44
074,13.80,11.83,25.00,12.75
075,20.13,15.65,0.00,17.74
076,14.49,13.54,0.00,13.98
080,29.14,26.36,0.00,27.66
085,17.41,15.76,0.00,16.53
090,16.14,15.61,0.00,15.85
100,17.73,16.43,0.00,16.99
105,25.22,21.87,0.00,23.45
107,21.11,19.78,33.33,20.45
108,23.71,21.33,0.00,22.44
109,30.45,28.32,25.00,29.35
110,15.77,13.50,0.00,14.51
111,12.46,9.620,0.00,11.01
115,14.68,13.75,0.00,14.16
120,21.66,22.80,0.00,22.27
125,16.54,14.30,0.00,15.30
130,21.71,16.14,0.00,18.70
131,25.81,22.14,0.00,23.96
132,22.27,19.49,0.00,20.76
134,17.13,13.74,0.00,15.31
135,17.07,13.92,0.00,15.44
136,11.56,10.66,0.00,11.08
137,23.11,20.71,0.00,21.87
88888,inf00,0.00,0.00,200.0
99999,0.00,0.00,0.00,0.00
TOTAL,17.13,14.94,4.210,15.95
