AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,4.95,6.08,1.71,0.00,4.26,11.67,5.91,7.60
25-29,3.26,4.74,4.44,0.00,2.83,8.45,3.90,5.91
30-34,4.41,7.13,2.13,0.00,5.80,13.45,9.15,9.48
35-39,8.86,10.75,4.92,0.00,10.34,19.68,6.81,13.71
40-44,6.85,16.07,12.90,0.00,7.02,23.86,8.91,18.49
45-49,6.76,20.50,16.36,0.00,15.38,28.23,11.67,23.19
50-54,7.35,26.18,17.78,28.57,11.76,32.49,10.98,28.11
55-59,6.58,32.89,10.91,33.33,9.30,36.83,11.07,33.52
60-64,14.71,40.49,30.77,0.00,13.51,43.93,19.12,41.24
65-OVER,7.83,45.68,14.63,11.11,15.00,49.24,22.74,46.97
TOTAL,7.00,21.40,8.67,8.62,8.02,32.24,9.97,25.32
