AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,7.140,1.720,5.000,0.00,6.670,16.86,3.470,10.52
25-29,7.690,2.300,7.690,0.00,0.00,12.65,4.460,8.380
30-34,7.690,3.620,0.00,50.00,0.00,18.65,2.860,12.81
35-39,16.67,6.150,8.330,0.00,0.00,26.02,9.300,18.66
40-44,0.00,9.000,25.00,0.00,0.00,31.53,8.330,23.88
45-49,12.50,10.28,0.00,0.00,0.00,35.76,10.94,27.95
50-54,10.00,13.20,0.00,0.00,14.29,40.64,5.000,31.25
55-59,20.00,14.16,0.00,0.00,33.33,41.00,18.52,32.98
60-64,75.00,23.31,12.50,0.00,40.00,44.86,5.130,38.13
65-OVER,14.29,25.78,33.33,0.00,33.33,49.57,14.61,43.72
TOTAL,13.40,12.15,8.400,6.670,12.66,36.02,7.560,27.98
