AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.58,7.69,33.33,12.50,9.16,4.76,5.81
25-29,20.00,0.63,0.00,0.00,0.00,7.93,4.41,4.78
30-34,0.00,0.53,20.00,0.00,0.00,13.33,0.00,8.07
35-39,0.00,1.69,0.00,0.00,0.00,11.83,3.57,7.69
40-44,0.00,3.05,0.00,0.00,25.00,11.85,14.63,9.09
45-49,0.00,6.23,9.09,0.00,0.00,13.79,5.71,10.91
50-54,50.00,5.11,33.33,0.00,0.00,18.45,4.35,13.86
55-59,0.00,8.82,0.00,0.00,0.00,23.93,5.88,18.54
60-64,25.00,10.58,0.00,0.00,50.00,26.77,7.14,21.38
65-OVER,0.00,14.73,0.00,0.00,0.00,34.03,8.20,28.59
TOTAL,10.34,5.86,5.71,20.00,6.25,20.70,5.85,15.26
