PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
WYNNTON/BRITT,14.38,17.71,0.00,16.32
CARVER/MACK,12.60,17.91,0.00,15.80
ST JOHN/BELVEDERE,20.62,25.07,100.0,23.21
BRITT DAVID,12.03,11.34,0.00,11.63
ST. PETER,16.31,15.44,0.00,15.80
CORNERSTONE,10.81,10.13,0.00,10.42
COLUMBUS TECH,7.17,7.70,0.00,7.48
ST MARK/HEIFERHORN,15.71,13.99,0.00,14.77
WYNNBROOK,27.66,22.62,0.00,24.86
CUSSETA RD,8.96,11.08,0.00,10.24
NATIONAL INFANTRY,5.34,8.14,0.00,6.96
EDDY/KEY,7.98,9.46,0.00,8.82
MT PILGRIM,16.19,20.22,0.00,18.53
FAITH TABERNACLE,14.13,18.32,0.00,16.57
FORT/WADDELL,11.34,14.43,0.00,13.15
ROTHSCHILD,12.08,15.16,0.00,13.84
GENTIAN/REESE @LDS,15.00,14.83,25.00,14.91
ST PAUL/CLUBVIEW,20.82,20.30,33.33,20.54
MOON/MORNINGSIDE,12.35,12.44,0.00,12.40
ST ANDREWS/MIDLAND,12.50,11.45,0.00,11.91
SALVATION ARMY,11.88,11.07,0.00,11.41
FIRST AFRICAN,9.12,9.03,0.00,9.07
EPWORTH UMC,10.49,12.49,0.00,11.61
MARIANNA GALLOPS,9.26,10.64,0.00,10.03
EDGEWOOD BAPTIST,14.88,15.47,0.00,15.20
PSALMOND/MATHEWS,16.15,14.59,0.00,15.30
88888,0.00,25.00,0.00,16.67
99999,0.00,0.00,0.00,0.00
TOTAL,13.26,14.36,5.66,13.88
