AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,3.85,0.00,0.00,5.26,4.42,4.80
25-29,0.00,1.35,0.00,0.00,0.00,3.73,4.88,3.59
30-34,6.25,1.23,0.00,0.00,0.00,7.58,5.29,6.87
35-39,16.67,1.20,2.94,0.00,0.00,9.77,6.01,8.90
40-44,0.00,2.30,13.79,0.00,5.56,10.83,9.87,10.31
45-49,6.06,2.86,8.70,0.00,5.26,15.04,8.33,13.79
50-54,5.26,4.72,6.90,0.00,20.00,20.46,8.28,18.66
55-59,0.00,8.26,11.11,0.00,6.25,28.99,13.95,26.77
60-64,3.85,9.00,10.53,0.00,14.29,34.24,17.65,31.76
65-OVER,11.43,5.44,0.00,0.00,0.00,43.31,25.49,40.83
TOTAL,4.19,4.01,5.75,0.00,3.90,20.83,9.05,18.82
